run_id,done,force_field,integrator,nsteps,exec_time,avg_cpu,avg_mem,energy_usage,avg_rmsd
run_0_repetition_0,DONE,opls,md,50000,146.881,3148.92,148723.007,8368.337,2.616818e+00
run_1_repetition_0,DONE,opls,md,250000,716.895,3198.636,149437.784,41590.957,3.649913e+00
run_2_repetition_0,DONE,opls,md,500000,1435.817,3186.021,150679.22,83144.344,4.077870e+00
run_3_repetition_0,DONE,opls,sd,50000,152.219,3211.958,146760.056,8683.716,2.186767e+00
run_4_repetition_0,DONE,opls,sd,250000,755.701,3188.485,149428.287,43590.847,3.120224e+00
run_5_repetition_0,DONE,opls,sd,500000,1508.113,3194.253,150545.545,86955.874,3.583602e+00
run_0_repetition_1,DONE,opls,md,50000,144.788,3160.463,149342.882,8311.219,2.623663e+00
run_1_repetition_1,DONE,opls,md,250000,719.427,3181.086,150334.706,42101.014,3.636771e+00
run_2_repetition_1,DONE,opls,md,500000,1440.54,3189.322,151727.87,83515.805,4.075723e+00
run_3_repetition_1,DONE,opls,sd,50000,152.63,3154.937,148305.483,8676.515,2.183294e+00
run_4_repetition_1,DONE,opls,sd,250000,752.148,3192.266,149958.588,43385.632,3.116406e+00
run_5_repetition_1,DONE,opls,sd,500000,1504.251,3181.683,149984.951,86904.144,3.571980e+00
run_0_repetition_2,DONE,opls,md,50000,145.506,3153.596,147084.471,8301.51,2.596996e+00
run_1_repetition_2,DONE,opls,md,250000,719.43,3175.192,150526.245,41600.149,3.664850e+00
run_2_repetition_2,DONE,opls,md,500000,1431.806,3187.107,151044.766,82873.959,4.088236e+00
run_3_repetition_2,DONE,opls,sd,50000,152.003,3196.732,146229.324,8674.085,2.210288e+00
run_4_repetition_2,DONE,opls,sd,250000,759.413,3181.131,148911.424,43799.086,3.149858e+00
run_5_repetition_2,DONE,opls,sd,500000,1509.31,3186.062,150452.284,87277.674,3.574842e+00
run_0_repetition_3,DONE,opls,md,50000,144.858,3119.385,147327.615,8332.136,2.598196e+00
run_1_repetition_3,DONE,opls,md,250000,718.964,3197.845,149868.343,41676.741,3.655702e+00
run_2_repetition_3,DONE,opls,md,500000,1433.894,3187.691,150093.779,83122.798,4.096409e+00
run_3_repetition_3,DONE,opls,sd,50000,151.807,3189.19,147086.958,8661.151,2.207867e+00
run_4_repetition_3,DONE,opls,sd,250000,752.646,3181.396,148818.646,43363.494,3.134974e+00
run_5_repetition_3,DONE,opls,sd,500000,1508.934,3193.087,149374.537,87907.868,3.569663e+00
run_0_repetition_4,DONE,opls,md,50000,145.088,3200.86,147928.382,8318.541,2.623454e+00
run_1_repetition_4,DONE,opls,md,250000,718.992,3190.307,149744.13,41603.973,3.670959e+00
run_2_repetition_4,DONE,opls,md,500000,1436.922,3188.223,151088.996,83224.823,4.103414e+00
run_3_repetition_4,DONE,opls,sd,50000,152.177,3187.711,148558.761,8679.893,2.210627e+00
run_4_repetition_4,DONE,opls,sd,250000,754.837,3199.406,148818.183,43394.698,3.130215e+00
run_5_repetition_4,DONE,opls,sd,500000,1508.9,3195.037,149767.547,87253.981,3.577262e+00
